a	70	71
a	4	2
a	41	206
a	233	239
a	233	242
a	183	257
a	106	268
a	69	287
a	236	235
a	191	122
a	363	256
a	252	88
a	295	387
a	295	389
a	63	174
a	418	62
a	214	351
a	115	337
a	140	139
a	116	338
a	169	338
a	21	212
a	107	113
a	283	282
a	381	320
a	52	232
a	199	128
a	199	203
a	186	121
a	499	43
a	62	128
a	113	361
a	91	514
a	345	180
a	58	252
a	377	378
a	377	250
a	377	368
a	157	64
a	506	64
a	141	466
a	251	116
a	542	413
a	275	542
a	29	27
a	395	395
a	157	377
a	458	542
a	114	165
a	62	256
a	447	448
a	179	180
a	132	62
a	478	474
a	446	216
a	61	394
a	285	552
a	60	377
a	114	371
a	484	563
a	106	21
a	121	209
a	29	588
a	60	232
a	62	45
a	486	129
a	14	312
a	318	127
a	596	597
a	418	81
a	371	114
a	263	171
a	482	134
a	196	51
a	281	211
a	175	3
a	116	47
a	93	41
a	344	149
a	211	301
a	367	261
a	282	188
a	281	208
a	169	129
a	260	400
a	115	114
a	96	438
a	142	183
a	41	581
a	89	136
a	556	232
a	136	116
a	385	295
a	44	430
a	180	345
a	44	506
a	51	109
a	405	42
a	240	236
a	2	174
a	155	188
a	132	305
a	150	60
a	13	444
a	269	657
a	128	28
a	173	259
a	6	473
a	395	174
a	377	86
a	99	323
a	58	665
a	452	569
a	527	64
a	213	359
a	146	67
a	194	412
a	129	401
a	495	495
a	341	248
a	494	510
a	608	267
a	35	34
a	380	539
a	231	191
a	222	316
a	106	434
a	470	470
a	63	434
a	125	125
a	340	78
a	695	607
a	695	315
a	699	700
a	157	179
a	107	153
a	194	5
a	5	194
a	404	323
a	232	277
a	356	81
a	96	86
a	592	429
a	188	69
a	12	267
a	491	491
a	115	494
a	6	481
a	2	665
a	34	54
a	251	123
a	65	426
a	380	120
a	685	63
a	258	365
a	407	358
a	183	375
a	31	155
a	121	371
a	129	63
a	5	281
a	310	17
a	406	358
a	6	397
a	108	473
a	455	263
a	108	81
a	377	385
a	358	43
a	169	366
a	113	301
a	16	132
a	22	173
a	92	259
a	63	89
a	632	397
a	491	390
a	107	133
a	283	61
a	400	336
